"Just finished an epic legs workout, loved this pre workout drink recommend by @CurvyC #DTP #dynutrition #dorianyates http://t.co/9ecsqVLSF1"
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"#twye post workout/breakfast smoothie. Mixed Berry's, spinach, lucuma powder, soy protein powder, water..... Fresh! http://t.co/DB6eiGikeW"
"RT @healtyfoodmania: Before your event or workout, fill an empty water bottle with protein powder. After your event, add water & shake vigo..."
RT @J_Dot_Warren: @life_cheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout. @Ruhnay93
i'm pretty sure my liver is half dead from overdose who cares abt diet soda
I'm trying this new diet where i don't eat dinner but i drink beer
Chocolate milk makes the best post workout drink  #FitnessTips http://instagram.com/p/sUdGwbPKVh/
"RT @classifiedfact If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @felixcito: @mappingmegan: Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase I like sandinyou..."
"@republicz just having a pick me up after our bike ride of hot almond milk, dates, banana, cinnamon & cardamom #healthyeating #yummy"
"RT @hanaxfitness: Being my own motivation to get back to this! Healthier diet, more water, more exercise   #fitfriday #fitness http://t.c..."
"Coffee, creatine, gym, protein shake then golf - now thats a Saturday! @ashley_pitt #shortcuttoshred"
"Instead if going to the gym or going out tonight, I decided to stay home, make brownies and drink margaritas. #turnup"
@AnnaLouiseDeery Chocolate milk is pretty much the perfect drink after exercise. Perfect balance of carbohydrates and protein. #knowledge
"Post exercise replace the carbs used during workout - go for high fibre whole grains bread, rice & protein like eggs, milk, lean meat"
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
0wned by DodePersie #DodeOnTTI Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Feelin a large iced coffee after this horrible workout sesh
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @AllAthletesKnow: All athletes know that you basically marry chocolate milk after a workout.
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @hanaxfitness: Being my own motivation to get back to this! Healthier diet, more water, more exercise   #fitfriday #fitness http://t.c..."
went to the gym gonna drink my banana shake read the hobit :3 oh hayyy
"Can't decide if I should go for a run, work out or just be lazy with more coffee. Lol."
"RT @Deb_Lowther: Post exercise replace the carbs used during workout - go for high fibre whole grains bread, rice & protein like eggs, milk..."
@omgWeirdWorld: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout. @MasonSpeaking 4 the future
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Post workout, can't feel my body. Sipping juice in my car in the park. Will continue updates on pain levels. http://t.co/04E7VWreY5"
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Wired on coffee and pre-race for the last workout of the preseason #lookoutworld #AFXC
might start using coffee for a pre workout
RT @life_cheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
RT @life_cheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
Tis the season of my bf cheering on Alabama while I read my kindle and drink beer in various sports bars.
"RT @ShabobbyShmurda: @suuundusimama Hairline, chocolate milk/ not chocolate milk and getting mad at sports @John_Flynn24 @MFlynn32 I HOPE I..."
Drinking black coffee and watching soccer in a sports book in vegas is at least 10x cooler than drinking light beer and watching football.
#Groth might need to drink less beer #glutenfree #paleo #USOpen2014
RT @Coop_Beveridge: It doesn't look like that diet soda is working to well for ya fat ass
"Assigning a ""vegetable and water only diet"" to a fat lazy slave. His former grocery budget now belongs to me. #findom"
"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
To the sketchy ass barista who wrote his number on my coffee when I'm gross and covered in sweat from my workout http://t.co/wE6KDTvQzR
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Sneaky post workout buckwheat crepe with chicken and Parmesan with a Green Machine juice @honeysucklefood #eatclean http://t.co/hX5cf80iHz
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
@raccoonsclub AHH time for a relaxing post-workout beverage *i unscrew a jar of Jif and shake its gloppy contents into my open mouth*
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Leaving the gym and Chili's smells sooooo good. But I'm just going to go home and drink my protein shake 
RT @karenkafer: As health pros you know milk is great - have you discussed the benefits of refueling w/ #chocolatemilk post work-out? http:...
Do you drink pre or post work out shakes?
Went for an extra hard run today so i can have a drink tonight #workhardplayhard
0wned by DodePersie #DodeOnTTI Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"RT @FactsWikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"""After a successful workout with @tessakelli07 all I want is some chocolate milk "" @nickie_lynn3"
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
But who ever makes Bicycle tea leaves should be ashamed of himself ....
"Just a lazy beer, bike parked in the distance.. Finish this beverage and jump back on for a beautiful ride on a... http://fb.me/6IGzsa7K0"
Blehhhh. Holding on to lots of water. New diet plan for the next week. Slowly lowering the calories so my metabol... http://t.co/eGQmqStoPj
Coffee with pizza and chocolate cake: the definition of lazy fat-ass heaven. #LaborDayWeekend
light cup beer drink thin so chain neck turtle fat man I won't say it again. http://timehop.com/c/fup:1906775840736:10202100136416557:6030429:1c9d0 http://t.co/OrsHnluXzs
"my mom is always like ""that's full of aspartame!! that's so bad for u!!"" and i'm like oh no and then i take another drink of my diet soda"
Got given a lecture about being fat and my parents have ordered Dominoes for tea. Good logic
"I need to stop drinking soda there all empty in my room ,  I got like 3 polar pops an 3 other fountain drinks from fast food places"
Lazy Saturday in bed with a diet coke and a harvest candle. What are ya'll up to?
RT @MostSecretThing: Mixing alcohol with Diet Coke will get you more drunk than mixing it with regular Coke. http://t.co/ylDga3lk37
@Mattkildthepope: Quit being lazy go find mountains and water found it  http://t.co/xSSVMxWndX
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If by ""help you cook"" you mean drink a beer in the kitchen while you do the work, then yes, I'd love to help you cook. #offday"
@brett7three @AhraniLogan I do quite well from 6am-6pm with diet and beverages. Its dinner and 9pm snack I seem to struggle. Fresh red meat.
"""How she order all that food and a muhfuckin diet Coke?"""
RT @MostSecretThing: Mixing alcohol with Diet Coke will get you more drunk than mixing it with regular Coke. http://t.co/ylDga3lk37
RT @myfootballfacts: @CarterCollectab Irish Coffee contains the four most important food groups: Alcohol Sugar Caffeine Fat
"RT @ScrummyKitchen: Why not have a fab lazy bank holiday weekend brunch @DescoLounge Great atmosphere, food, coffee & fun #solihull #shirle..."
I can drink beer like Todd Gurley can run the rock! GOOOO DAWGSSSSSSS
Quit being lazy go find mountains and water
"My throat is dry, let me stop being lazy & fix me sumn to drink"
RT @KAGEROXX: niggas gotta quit eating mcdoubles w/ fries & a large coke then giving their wifey the pipe raw... y'all should be ashamed
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @FactsWikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @baedinamenzel: How do so many girls in my school drink so much alcohol every weekend and not get fat
Being fat asf today had 6 bags of chips family bag than had 4 sodas n 4 juice
"Teenagers who smoke, drink alcohol and eat junk food are 4 to 6 times less happier than those who never smoked and drank alcohol!"
I need a fat ass and some thick thighs on my lap right now whole I drink this beer 
Some of you all are getting fat doing all this damn drink in every weekend
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"@Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process. @kbuckingham_"
"@MyLuvEternal yea in use mine with 1% milk, I use mine as post workout so I don't mind the extra calories"
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Post-workout: broccoli and pesto, bananas, strawberries, almond milk, flaxseeds, ice. Shower and bed... http://instagram.com/p/sU948eAjoB/"
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Bringing alcohol drinks from the basement to upstairs is a quick workout.
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @jcameronp: when I get back to LA I'm looking for: cute coffee dates, cute sunset dates, cute hiking dates, cute surfing dates, cute chi..."
"RT @jcameronp: when I get back to LA I'm looking for: cute coffee dates, cute sunset dates, cute hiking dates, cute surfing dates, cute chi..."
"RT @lifesfactz: Teenagers who smoke, drink alcohol and eat junk food are 4 to 6 times less happier than those who never smoked and drank al..."
I think I'd just rather stay home and drink beer and eat chips like a fat ass then go out tonight
@TrevorMoore420 we're gonna eat turkey and pie and be fat as fuck and drink hella beer
He had on a Lynyrd Skynyrd shirt a camo hat and skinny jeans! With beer in a fountain soda cup. Did I mention that he's 50 yrs old!  
"RT @LadiesofIUP: I will never be a girl who drink any of those ""skinny girl"" cocktails. Give me beer or give me death. "
"""@goldenxgen: I want to be skinny but @ the same time I want to stuff my face with pizza and drink a lot of beer #thestruggle"" me errdayyyyy"
Healthy detox lemon water after eating Nutella biscuits 
RT @myfootballfacts: @CarterCollectab Irish Coffee contains the four most important food groups: Alcohol Sugar Caffeine Fat
"RT @nottoochuby: It may be calorie-free, but diet soda is linked to diabetes and metabolic problems."
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Pre workout/lunch! Coffee protein shake, Greek yogurt with some granola, and 45 cal wheat bread with pb! #twye http://t.co/n25ebSkoZK"
Today's to do:  workout Pick up check  Buy coffee Pick up girls Go to beach  Get toes done Work  #perfect
Coffee and a Cliff bar before today's workout  #energizerbunny
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"""@classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.""  @yourfierysasha"
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"I really want to see what the #KillCliff recovery drinks do for me, any views on flavors/products? #fitfam"
Working myself up to detox. Can stop the wine but not the coffee. 
eatin clean this week starting sunday. tyson tendys and ore ida french fries. liquid will be green tea with stevia. detox week
"It may be calorie-free, but diet soda is linked to diabetes and metabolic problems."
"@Lex_Lauren that's what I do every time a customer orders a water AND a diet soda, at the same time, and then doesn't drink the fuckin water"
"it was labor day weekend & I was 17, bought a coke and some gasoline, sat in my room and wrote an essay and college apps #somethinglikethat"
Share a Diet Coke with someone else who also thinks that it will be the solution to their weight problem
RT @Calum5SOS: Dan looking a bit embarrassed after revealing his small coke to the group. @GuitarmanDan http://t.co/j2nxP5yWBM
RT @Cobhoza: If I was President in order to Drink alcohol ud need to have a license! Drinking without a license = 9 months in Jail!!
If I was President in order to Drink alcohol ud need to have a license! Drinking without a license = 9 months in Jail!!
RT @YOUNG_MUSTARD: when you run out of milk but too lazy to go to krogers real quick. http://t.co/bv1OEuXyhA
"What a way to end the shift, cheese, coke and bread. Good bye to the diet for the night #diet #byebye... http://instagram.com/p/sV1KFEhpEG/"
"""@Luke5SOS: I've started drinking cranberry juice daily, what is happening"" meaning that you start to live on a diet lolol"
There's 30g of carbs in one bottle of this beer  Needless to say I will be drinking diet soda.
RT @HiddenTips: Mixing alcohol with diet coke will get you more drunk than mixing it with regular coke.
"""@PreacherPerfect: Is there a diet you can be on and still drink all the beer you want? Asking for a friend."" Liquid diet of just beer."
Do you drink pre or post work out shakes? @FaZe_Censor
10 day water diet starts today. .
Fat people who drink diet coke... Listen it doesn't make any difference
Whenever I see a fat person drinking soda and eating trash food I just want to save them...like you can do better than this!
"Teenagers who smoke, drink alcohol and eat junk food are 4 to 6 times less happier than those who never smoked and drank alcohol!"
one soda a day... thats what giving up can buy a months supply of skinny fiber for when you buy three get three... http://fb.me/2rQxJkuOz
Coffee  Morning walk   Workout  Not a bad morning so far
this turbo tea pre workout is the only thing that's gonna get me through this shift today.
"RT @TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Post workout coffee!   #coffee #progress #lifting #liftingheavyshit  #gettingstronger #strenght... http://instagram.com/p/sUPyvagWUh/
Why can't i eat endless food and take aways and drink as much alcohol as I like and stay skinny
"RT @InertiaFitness: Tip#8: Alcohol intake translates to empty calories, think about what you drink when you lose weight #nutrition"
"0wned by DodePersie #DodeOnTTI Diet soda has not been proven to aid in weight loss. In fact, it's been shown to actually increase hunger."
New diet starts today! No more pumpkin spice lattes.  This is a raspberry black coffee with 4... http://instagram.com/p/sUz-5nC4JQ/
"RT @nottoochuby: It may be calorie-free, but diet soda is linked to diabetes and metabolic problems."
"RT @InertiaFitness: Tip#8: Alcohol intake translates to empty calories, think about what you drink when you lose weight #nutrition"
Might crack open bottle of wine tonight. It's just I prefer to eat my calories. But then would drink on a night out. Just don't have them!
Drinkers: Limit the amount of alcohol you drink. Alcohol tends to increase your appetite and provides calories without any nutrients.
@AKopxo my liver asked me not to I might respect his wishes. Strict water diet haha
"My diet went out the window, dominoes for tea last night, nandos at lunch.. dominoes cookies and ice cream ordered just for desert tonight.."
Post Workout / Cycling Recovery Drink - RawTill4 Vegan Dairy Free Smoothie 4:1 Carb to Protein Ratio: http://youtu.be/mXG1fXhfims?a via
0wned by DodePersie #DodeOnTTI Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
Was thinking about ballet today and then drank champagne at happy hour which means I've begun practicing piqu turns across the living room.
"@District2Mayor Tea, please. No alcohol during my diet. *smiles*"
"Pass on Pop. Go soda free on Sundays. Saves calories, money and teeth. Take the pledge at http://kac.org/passonpop/"
X factor night tea in sitting room with wine n junk food@CherylOfficial @Rob_Gilling @ema_kerr @RTJAdams
@YungBanhXeo: My cousin told me I don't have to go to the gym today and I can do arms here aka curl a beer and drink it my life
"i lost my diet again can't resist the temptation. 3 toast, egg& bacon with creamy coffee for breakfast. Need to... http://fb.me/3nX8XOiUK"
"RT @nottoochuby: It may be calorie-free, but diet soda is linked to diabetes and metabolic problems."
"@OhSoBeautifull Can't drink it no more makes me violently ill!!! Nothing but Sangria(Red&White), White Wine & Coconut Vodka with Diet Soda!!"
finna start this water diet Sunday
Like I'll cheat on my diet but you'll never see me have a soda
"Do you want to kick your soda habit?  Plexus can help. I have seen people completely quit Coke, Dr. Pepper, Diet... http://fb.me/6Qv3EJZKw"
Water diet starts tomorrow.
RT @carlyxowickers: Last weekend to eat/drink everything fattening 
@summerager bc I figured alcohol is really unhealthy and fattening so if I don't drink any it's a start in the weight loss plan I've got
I've cut soda and for the most alcohol out my diet and it's a real struggle bruh 
Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"RT @TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Gonna work out in my back yard burning that alcohol I drank last night
"Goal..start with diet coke and end with diet coke. Be good. But...in between, wines, a beer & Mike's. Fucking fail. #fail. #klassybitch"
My favorite part about fitness and training is trying new supplements and recovery drinks!! http://t.co/6ImjTLVJna
RT @life_cheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"RT @sentlhane: ""@itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."" Thanx for the t..."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @life_cheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"@suuundusimama Hairline, chocolate milk/ not chocolate milk and getting mad at sports @John_Flynn24 @MFlynn32 I HOPE I MADE YOU PROUD #BULLS"
I want to ride my bike to this lil water park but it's hot af. I think it should be worth it when I get there
"Quick breakfast before barre class! Blueberries, raspberries, flax granola and almond milk. Nomaste. "
"RT @TheEighty8: Wear sweatpants, skip the gym, don't drink green juice: why you should screw perfection   http://wp.me/p4tXsE-jy"
"#workout #fitness at http://ift.tt/1mmFx5o -- BERRY SUPERFOOD SMOOTHIE // Blend: 1 cup almond milk,  3/4 mixed... http://t.co/618WGoScmT"
Post work out tea #12wbt http://t.co/Hyn84FQocp
Would you still drink that soda if you knew you had to run two miles in order to burn the calories you just consumed? http://ltl.is/aitf7
"RT @SparkleDaze: Today is Tour De Fat! Dress up, bike around, and drink some beer with me if you aren't doing anything."
"They have almond milk!  post yoga chai tea time (at @PhoenixCoffeeCo in Cleveland, OH) https://www.swarmapp.com/jamie_r/checkin/5401db12498e18106071a332?s=M12FH-al5HxqVutRRjck91XeVZo&ref=tw"
I'm confused by all the soda in my room right now
"RT @KitchenSprout: I have 8 food groups in my diet: wine, cheese, wine, bacon, wine, chocolate, wine and coffee"
Cutting soda out of your diet makes your skin clear up soo much faster. Holllaaa
Mixing alcohol with Diet Coke will get you more drunk than mixing it with regular Coke. http://t.co/ylDga3lk37
"Ive gained so much weight ... Like them fat people who tryna go healthy so they order 5 big macs, 2 frys and a diet coke ...... Gtf"
Went down the trail and made a huge deposit in my Ironman fitness account. Now where's my recovery drink of... http://fb.me/6JGHds4iT
"""@Rasta_Browne: ""@shoesbyFIS: Should I drink a beer or nah""thought u were on a detox"" sept 1"
He not even that fat tho  his ass just got a beer belly because that's all his ass drink 
Best part about being 21 is being able to watch football wherever you please and drink a fat beer
@ammitchell23 @OTownOfficial I need to stop being lazy and make coffee and tweet more stations lol
Need 2 shower???? Buy milk??? Somehow obtain alcohol for tonight
"Tip#8: Alcohol intake translates to empty calories, think about what you drink when you lose weight #nutrition"
"""You sweat out calories"" ""I don't think it works like that, you sweat out water"" ""oh cool"""
"First time i drank soda in a month, im so ashamed and feel unhealthy bye"
Come drink unhealthy amts of beer with me and @B_Skizz
@kaitlynnicollle nah f dat i think my skin and hair looks fine i drink all the soda eat all the candy and junk food in the world
@life_cheates: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.@Drury_Dow
"@whatson4me a date to remember 26thSept @macmillancancer coffee morning&@FitnessDayUK @energiePlym come for coffee, cake & workout ;)"
chocolate milk after a workout is always the move
@ConnieEvarose pre workout in your morning coffee... That will give you a wake up buzz haha
"Gym is the Club , protein shake is the Drink , Sore is the hangover ."
a Saturday post work workout at the work gym I thinks..before I go home to a plethora of drinks and can't blink #WreckTheBody #WreckTheMind
Post gym coffee with a view on yet another stunner. @ Virgin Active Constantia http://instagram.com/p/sUP8WJhVqI/
"Quick breakfast before barre class! Blueberries, raspberries, flax granola and almond milk. Nomaste.  http://instagram.com/p/sVCSoJGmfi/"
The perfect post hike drink. http://t.co/A94fZ28q1Z
@0xA101 It is good for muscle building/toning. Just drink after weights/intense workouts and not very much with cardio.
Chocolate Almond milk plus jackfruit makes an amazing smoothie after my hour long bike ride with... http://instagram.com/p/sP_Kv9ti1K/
@shar1mac might go back to being fat I could handle my drink then lol x
@Bitterchick I haven't drank beer in 2 years. Makes me fat. I'm strictly vodka now.
"complains about being fat but eats cupcakes and herseys milk chocolate drops for ""breakfast"""
" ""@Cobhoza: If I was President in order to Drink alcohol ud need to have a license! Drinking without a license = 9 months in Jail!!"""
RT @Cobhoza: If I was President in order to Drink alcohol ud need to have a license! Drinking without a license = 9 months in Jail!!
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
My cousin told me I don't have to go to the gym today and I can do arms here aka curl a beer and drink it
After arm day I feel like I can push anybody to the other side of the country but have a hard time opening a water bottle
Trying to lose weight? Don't drink alcohol !!!!!!
Trying to lose weight? Don't drink alcohol !!!!!!
@DEFENDBlEBER I want to be skinny but not really skinny and I think I'll lose weight this year bc I gave up soda
"why...why am i being lazy and not making my coffee!!  I really need a coffee bean grinder, the food processor doesnt get it right."
"Esto de la dieta no me gusta nada, mucho menos si tengo una torta de chocolate con mucho dulce de leche en la heladera...."
Antes de acostarme me tome un vaso de agua asi no me levanto con resaca maana...
Necesito 2 tazas de caf antes de ir al colegio.
RT @Panchisaanchez: #MiLocuraEs Escuchar msica antes de dormir y el caf de la maana. #morning
"Si comes bien, haces ejercicio y bebes mucha agua diariamente, igual morirs algn da. #BBLB"
Los antioxidantes que contiene el jugo verde ayudarn a tu cuerpo a desprender y eliminar los radicales libres y toxinas #ComeSaludable
"RT @SaschaFitness: El Agua de coco es buensima para tu salud, sobretodo despus de el ejercicio intenso, luego de hora y... http://t.co/xlOm..."
"NO arruines lo saludable de tus comidas con una lata de gaseosas. Bebe agua, agua con limn, incluso t verde fro."
Un vaso de agua con #SynergyO2 #Oxgeno antes de tomar un bao ayuda a bajar la presin sangunea @PanamaPuntoCom http://t.co/q6wGKK5jXA
"el propio licuado me hizeeeee , banana , dulce de leche , licuado multifruta ser y una naranja"
"Banana Berry, el favorito de todos. Smoothie a base de yogur.              A diferencia de la leche la protena... http://fb.me/1l0ZDyIfm"
"""@mmaribc: Cereal sin azcar+ 1 taza leche descremada+ lonja queso blanco tipo Mozzarella+ fruta = desayuno"""
"T y 5 galletitas de salvado con queso light, s volvi la dieta chicos."
"Esta semana presumiremos un jugo de pocos pero efectivos ingredientes,  combinacin de energa y fuerza. #MoradoSerendipity #JugoDeLaSemana"
"A los 45 minutos de haber empezado a correr, es recomendable aadir una bebida isotnica para recuperar los electrolitos perdidos."
Correr a las 5 de la maana y desayunar 8 huevos a la Copa ms un caf... Eso es vida!!
"RT @EresCurioso: Toma un vaso de agua antes de comer, especialmente si no ests seguro de tener hambre, la sed puede engaarte de estar ham..."
"Si Comes bien, haces ejercicio y bebes mucha agua diariamente, igual vas a morir algn da."
"RT @Cuerpo_En_Forma: Toma ms agua. Come ms verduras. Duerme ms. Haz ejercicio con ms frecuencia. Ms es la clave, no menos."
"Con nacho nos vamos a juntar una tarde y vamos a comer masitas de agua con agua mineral, y vamos a salir a correr para bajar lo que comimos."
"Vernica hace 5 minutos: quiero empezar el gym! Ahora: le esta entrando, como gorda de cuestin de peso, al pan con manteca y dulce de leche"
"RT @RomiCamusso: Despus de clavarme este biscochuelo con dulce de leche,capaz empiece el gimnasio o algo de eso..capaz. Seguro no."
RT @ValSeXtreme: Tambien te doy jugo antes de la leche! http://t.co/HJr8eJuJav
"Buen diaaa!!!! Tomen agua , hagan por lo menos 45min de ejercicio Nunca es tarde para volver a empezar! Fuerza !... http://fb.me/23A5ZcNVB"
RT @LeoMonaco14: Despues de noches como las de anoche necesito como 6 litros de agua.
"RT @sabiasundato_o: Toma un vaso de agua antes de comer, especialmente si no ests seguro de tener hambre, la sed puede engaarte de estar ..."
RT @puraenergiave: Un vaso de agua antes de dormir previene derrames cerebrales y ataques al corazn #TomaAgua
Me dieron ganas de comer tostadas con dulce de leche y un buen caf.  porque gorda siempre.
"si comes bien, haces ejercicio y bebes mucha agua diariamente, igual morirs algun dia"
RT @JuanCruzUlloa: Prefiero tomar agua antes de tomar juego de manzana
Beber jugo de naranja diluido en agua ayuda a mejorar la mala digestin pues ayuda a eliminar residuos que causan este malestar. #Salud
"#licuadodeldia Agua de coco, chlorella, una naranja completa, pltano congelado, dos dtiles, canela y buenos... http://fb.me/2IMTaHQE8"
"RT excelente :) ""@iEjercicio: T verde antes de entrenar har que quemes ms grasa. Incrementa tu metabolismo y oxidacin de lpidos."""
nada mejor q empezar el dia con ejercicio x3 y al llegar a casa toda acalorada echarse agua en la cara es lo mas... http://fb.me/3AldMNSBo
RT @indecam: El agua de coco ayuda a hidratarte y es un sustituto o complemento de las bebidas especficas para deportistas @hurtadom_jc @C...
Para purificar tu piel toma al menos 8 vasos de agua y has 30 minutos de ejercicio al da.
"@jem_carstairs_ pues que bueno, yo bien. antes de que llegaras estaba algo aburrida. *toma un poco de jugo* que cuentas de nuevo?"
"Si gente, y con mucho orgullo lo digo! No puedo irme a la cama si no tomo una taza de leche antes de ir a dormir."
Nada mejor que antes de dormir un t de canela!!
"Recin llegado del GYM, Ahora a comer una banana y a tomar jugo de naranja exprimido por mi :)"
"#licuadodeldia Agua de coco, pepino, pia, mango, crcuma y jengibre.  A limpiar y desinflamar ese cuerpo en lunes!"
Licuado de hoy..  VERY VERY energetic SMOOTHIE  1 taza de fresas 1 taza de leche de arroz sin azucar Chia y... http://fb.me/3q7pvCimW
quiero ir al gimnacio para bajar de peso y me pongo a comer alFAJOR TRIPLE CON DULCE DE LECHE. gorda incogible se nace y se muere
Que lindo baarse con agua bien caliente antes de acostarte!
Te recomendamos estos tips para purificar el agua antes de su consumo http://bit.ly/1lG8tqt #SacudonPorLaRevolucion
me voy  hacer una leche antes de ir a entrenar
"Ejercicio y un buen caf tinto, mis aliados perfectos en la maana...: me siento bendecida"
Llegu a casa justo antes de que empezara el palo de agua. Marit 1 - 0 San Felipe Indomable
"quiero una torta gigante de chocolate, de 5 metros de alto con relleno de dulce de leche y marroc. porque gorda siempre :*"
"RT @Reflexion_Exito: Cudate: Nunca te saltes tus desayunos, come cada tres horas, has ejercicio regularmente, duerme al menos siete horas ..."
RT @Ejercitandote: T verde antes de entrenar har que quemes ms grasa. Incrementa tu metabolismo y oxidacin de lpidos.
RT @sabiastuque_: comer 5 almendras antes de ingerir bebidas alcohlicas previene la borrachera
"RT @EresCurioso: Toma un vaso de agua antes de comer, especialmente si no ests seguro de tener hambre, la sed puede engaarte de estar ham..."
"RT @Cuerpo_En_Forma: Toma ms agua. Come ms verduras. Duerme ms. Haz ejercicio con ms frecuencia. Ms es la clave, no menos."
"""@mmaribc: 1 rebanada de pan integral + jamn pechuga de pollo+ 1 taza caf con leche descremada+ fruta = desayuno"""
"RT @MarTuitea: Antes de darme los buenos das, dame un caf. ;-p"
"Por qu beber agua mejora nuestro rendimiento deportivo?: Beber agua antes, durante y despus del ejercicio a... http://bit.ly/1tTVUbV"
RT @iEjercicio: T verde antes de entrenar har que quemes ms grasa. Incrementa tu metabolismo y oxidacin de lpidos.
Caf Tacvba - Aprovchate: http://youtu.be/N9eroXvvCiI  Escuchando un poco de @cafetacvba Antes de Dormir.
